model,roc_auc,brier,threshold_best_f1,accuracy@0.5,precision@0.5,recall@0.5,f1@0.5,accuracy@best,precision@best,recall@best,f1@best,business_score
baseline_logreg,0.7495414863179517,0.09953001053199494,0.05,0.875,0.8820224719101124,0.9905362776025236,0.9331352154531947,0.8805555555555555,0.8805555555555555,1.0,0.9364844903988183,0.8852242940606795
stacking_logreg_lgbm,0.7434524246203508,0.10467258734893152,0.05,0.8694444444444445,0.8835227272727273,0.9810725552050473,0.929745889387145,0.8805555555555555,0.8805555555555555,1.0,0.9364844903988183,0.8840538059651925
lightgbm,0.6546108135866775,0.10644722687672097,0.05,0.8805555555555555,0.88268156424581,0.9968454258675079,0.9362962962962963,0.8805555555555555,0.8805555555555555,1.0,0.9364844903988183,0.8706388323337519
